X,Y,FID,PERIMETER,PUBLICBL_I,FACILITY,FACILITY_C,ADDRESS,CITY,ZIPCODE,CLASS,MUNICODE
-79.883704060219,40.4340519227546,62,0,76,Edgewood Borough Building,,2 Race St,Pittsburgh,15218,,823
-80.1916502758027,40.5520490103993,63,0,77,Edgeworth Borough Building,,301 Beaver Rd,Sewickley,15143,,824
-79.7552261599119,40.4987445979116,64,0,8,Plum Borough,,4575 New Texas Rd,Pittsburgh,15239,,880
-80.096683719795,40.5132798979241,65,0,79,Emsworth Borough Building,,171 Center Ave,Pittsburgh,15202,,826
-80.1479573347719,40.5304417273126,66,0,126,Aleppo Township,,100 North Dr,Sewickley,15143,,901
-79.8503379532024,40.4203366969681,67,0,81,Forest Hills Borough Building,,2071 Ardmore Blvd,Pittsburgh,15221,,828
-79.8966244614512,40.4366176319317,68,0,248,Frick Park,,Braddock & Biddle,Pittsburgh,15221,Pittsburgh Parks,100
-79.739071293537,40.6049861158499,69,0,30,Brackenridge Borough Building,,1000 Brackenridge Ave,Brackenridge,15014,,807
-79.9131911001326,40.4292602410698,70,0,606,Frick Park Parks Buiding,,Frick Park,Pittsburgh,15221,Pittsburgh Public Works,100
-80.1583908432626,40.5270971994679,71,0,83,Glenfield Borough Building,,105 River Rd,Sewickley,15143,,830
-80.018551128126,40.4833515991366,72,0,605,Riverview Park Parks Building,,Riverview Park,Pittsburgh,15214,Pittsburgh Public Works,100
-79.8922456075752,40.3277714619936,73,0,82,Glassport Borough Building,,Fifth & Monongahela Ave,Glassport,15045,,829
-79.9256514860855,40.4815687222624,74,0,607,Heths Run Storage Facility,,Highland Park,Pittsburgh,15206,Pittsburgh Public Works,100
-79.8631739282085,40.3512111687249,75,0,19,DHS-MVO,DHS-MVO,332 Fifth Ave,McKeesport,15132,Allegheny County,
-79.9525102335302,40.5799432889749,76,0,7,ACHD-North Hills,ACHD-NH,4706 William Flynn Hwy,Allison Park,15101,Allegheny County,
-80.0121754772631,40.4413503883896,77,0,602,Point State Park/ 1st,,101 Commonwealth Pl,Pittsburgh,15222,PIttsburgh Parks,100
-79.9963396735912,40.4397265425632,78,0,15,Court House,CH,436 Grant St,Pittsburgh,15219,Allegheny County,
-79.998192710086,40.4404268327293,79,0,16,DHS @ Smithfield,DHS-Sm,441 Smithfield St,Pittsburgh,15222,Allegheny County,
