FID,AREA,GRID_CODE,SQFT,ACRES,SQMI
3518,13448,4,13448,0.3087236,0.0004823806
3519,6724,5,6724,0.1543618,0.0002411903
3520,67240,6,67240,1.543618,0.002411903
3521,6724,6,6724,0.1543618,0.0002411903
3522,87412,5,87412,2.006703,0.003135473
3523,60516,6,60516,1.389256,0.002170712
3524,13448,14,13448,0.3087236,0.0004823806
3525,437060,5,437060,10.03352,0.01567738
3526,13448,4,13448,0.3087236,0.0004823806
3527,53792,6,53792,1.234894,0.001929522
3528,47068,5,47068,1.080533,0.001688333
3529,20172,14,20172,0.4630854,0.0007235709
3530,20172,5,20172,0.4630854,0.0007235709
3531,141204,5,141204,3.241598,0.005064997
3532,13448,5,13448,0.3087236,0.0004823806
3533,40344,5,40344,0.9261708,0.001447142
3534,20172,6,20172,0.4630854,0.0007235709
3535,67240,5,67240,1.543618,0.002411903
3536,47068,5,47068,1.080533,0.001688333
3537,6724,6,6724,0.1543618,0.0002411903
3538,20172,6,20172,0.4630854,0.0007235709
3539,20172,6,20172,0.4630854,0.0007235709
3540,33620,14,33620,0.771809,0.001205952
3541,33620,5,33620,0.771809,0.001205952
3542,47068,2,47068,1.080533,0.001688333
3543,497576,5,497576,11.42277,0.01784808
3544,13448,6,13448,0.3087236,0.0004823806
3545,188272,6,188272,4.32213,0.006753328
3546,100860,6,100860,2.315427,0.003617855
3547,6724,5,6724,0.1543618,0.0002411903
3548,26896,6,26896,0.6174472,0.0009647612
3549,40344,5,40344,0.9261708,0.001447142
3550,40344,2,40344,0.9261708,0.001447142
3551,67240,3,67240,1.543618,0.002411903
3552,47068,5,47068,1.080533,0.001688333
3553,6724,3,6724,0.1543618,0.0002411903
3554,26896,6,26896,0.6174472,0.0009647612
3555,20172,5,20172,0.4630854,0.0007235709
3556,6724,11,6724,0.1543618,0.0002411903
3557,1116184,5,1116184,25.62406,0.04003759
3558,20172,5,20172,0.4630854,0.0007235709
3559,13448,5,13448,0.3087236,0.0004823806
3560,60516,6,60516,1.389256,0.002170712
3561,107584,5,107584,2.469789,0.003859045
3562,20172,5,20172,0.4630854,0.0007235709
3563,6724,6,6724,0.1543618,0.0002411903
3564,47068,5,47068,1.080533,0.001688333
3565,94136,5,94136,2.161065,0.003376664
3566,3059420,6,3059420,70.23462,0.1097416
3567,26896,14,26896,0.6174472,0.0009647612
3568,20172,6,20172,0.4630854,0.0007235709
3569,73964,3,73964,1.69798,0.002653094
3570,3664580,5,3664580,84.12718,0.1314487
3571,6724,6,6724,0.1543618,0.0002411903
3572,33620,14,33620,0.771809,0.001205952
3573,181548,6,181548,4.167768,0.006512138
3574,477404,6,477404,10.95969,0.01712452
3575,524472,6,524472,12.04022,0.01881284
3576,6724,5,6724,0.1543618,0.0002411903
3577,13448,6,13448,0.3087236,0.0004823806
3578,26896,6,26896,0.6174472,0.0009647612
3579,127756,6,127756,2.932874,0.004582616
3580,60516,6,60516,1.389256,0.002170712
3581,100860,4,100860,2.315427,0.003617855
3582,26896,6,26896,0.6174472,0.0009647612
3583,6724,5,6724,0.1543618,0.0002411903
3584,1176700,6,1176700,27.01332,0.04220831
3585,13448,5,13448,0.3087236,0.0004823806
3586,80688,6,80688,1.852342,0.002894284
3587,275684,6,275684,6.328834,0.009888804
3588,948084,3,948084,21.76501,0.03400783
3589,6724,6,6724,0.1543618,0.0002411903
3590,73964,6,73964,1.69798,0.002653094
3591,100860,6,100860,2.315427,0.003617855
3592,47068,6,47068,1.080533,0.001688333
3593,6724,5,6724,0.1543618,0.0002411903
3594,53792,6,53792,1.234894,0.001929522
3595,13448,13,13448,0.3087236,0.0004823806
3596,6724,5,6724,0.1543618,0.0002411903
3597,208444,6,208444,4.785216,0.0074769
3598,194996,5,194996,4.476492,0.006994519
3599,26896,6,26896,0.6174472,0.0009647612
3600,584988,5,584988,13.42948,0.02098356
