FID,AREA,PERIMETER,INDEX_,INDEX_ID,TILE,TILENUM
104,16403349.488604,16346.30356038,359,739,0616,616
105,16440842.378502,16367.521273264,948,1146,0065,65
106,16403337.042111,16346.296890006,360,684,0617,617
107,16440848.330711,16367.523136896,949,1094,0064,64
108,16403334.211711,16346.295625657,361,629,0618,618
109,16440863.92632,16367.530660069,950,1041,0063,63
110,16403338.409957,16346.29699114,362,575,0619,619
111,16440863.397413,16367.529900112,951,985,0062,62
112,16440876.223359,16367.536642593,952,927,0061,61
113,16403358.60904,16346.306985559,363,522,0620,620
114,16403356.720955,16346.30566011,364,472,0621,621
115,16440890.576723,16367.544161128,953,869,0060,60
116,16403357.610159,16346.306771474,365,422,0622,622
117,16440888.159127,16367.543038284,954,812,0059,59
118,16403341.878837,16346.298418776,366,373,0623,623
119,16440878.461437,16367.538650316,955,755,0058,58
120,16403355.124968,16346.305715878,367,324,0624,624
121,16440863.532344,16367.531571586,956,700,0057,57
122,16403345.613103,16346.299784099,368,276,0625,625
123,16440877.340804,16367.539368307,957,645,0090,90
124,16440854.786384,16367.527509006,958,591,0131,131
125,16403356.16732,16346.305128065,369,228,0626,626
126,16405764.435127,16347.658311528,370,1562,1052,1052
127,16403356.995515,16346.306124228,371,185,0731,731
128,16440854.000989,16367.528180262,959,538,0180,180
129,16440856.592008,16367.529726843,960,488,0237,237
130,16405768.097375,16347.660138734,372,1544,0927,927
131,16440849.809474,16367.526544381,961,438,0302,302
132,16403353.838408,16346.304772551,373,149,0844,844
133,16440842.927771,16367.524137189,962,389,0375,375
134,16403180.10896,16346.205816098,374,117,0965,965
135,16440827.777164,16367.516361184,963,340,0456,456
136,16405632.04223,16347.583950256,375,1523,0810,810
137,16440822.237571,16367.513956094,964,292,0545,545
138,16405633.46051,16347.585003179,376,1500,0701,701
139,16405630.437891,16347.583726014,377,1472,0600,600
140,16440832.926806,16367.520318312,965,244,0642,642
141,16440814.52424,16367.510152996,966,201,0747,747
142,16405614.422184,16347.576009186,378,1439,0507,507
143,16443197.307345,16368.864730948,967,1560,0911,911
144,16405611.754559,16347.57481784,379,1401,0508,508
145,16440814.70746,16367.511682837,968,165,0860,860
146,16405619.332888,16347.579293061,380,1363,0509,509
147,16443132.719651,16368.826694859,969,1539,0794,794
148,16405605.257565,16347.572410354,381,1320,0510,510
149,16440654.060601,16367.422313667,970,133,0981,981
150,16405591.816561,16347.567030207,382,1275,0511,511
151,16440644.156459,16367.417982592,971,103,1110,1110
152,16405584.927201,16347.564073865,383,1229,0512,512
153,16405575.962212,16347.558943264,384,1183,0513,513
154,16443134.036714,16368.825795712,972,1516,0685,685
155,16405575.149326,16347.560183929,385,1131,0514,514
156,16443131.353797,16368.824397138,973,1488,0584,584
157,16405559.85538,16347.553143816,386,1079,0515,515
158,16443133.37109,16368.825859189,974,1455,0491,491
159,16375111.433257,16330.293046608,2,1307,2369,2369
160,16405562.926516,16347.554583229,387,1026,0516,516
161,16443141.047807,16368.828600509,975,1417,0406,406
162,16405554.345279,16347.550608918,388,970,0517,517
163,16443156.099098,16368.835116068,976,1379,0329,329
164,16443171.857616,16368.843187534,977,1336,0260,260
165,16405533.13399,16347.541223397,389,912,0518,518
166,16443174.281006,16368.843683467,978,1291,0199,199
167,16405659.891221,16347.613138794,390,854,0519,519
168,16405669.63222,16347.618227753,391,797,0520,520
169,16443174.434726,16368.842818566,979,1245,0146,146
170,16405679.357694,16347.622923517,392,740,0521,521
171,16443184.705306,16368.847562797,980,1199,0101,101
172,16443187.310014,16368.848840385,981,1147,0100,100
173,16405687.036006,16347.626101289,393,685,0522,522
174,16443198.770597,16368.854753478,982,1095,0099,99
175,16405692.608165,16347.628935259,394,630,0523,523
176,16443198.81672,16368.853201415,983,1042,0098,98
177,16375119.776328,16330.298736604,3,1262,2370,2370
178,16405667.153686,16347.615379626,395,576,0524,524
179,16405681.168427,16347.624350043,396,523,0525,525
180,16443215.375058,16368.861205636,984,986,0097,97
181,16405670.261876,16347.617954359,397,473,0526,526
182,16443222.952399,16368.864975331,985,928,0096,96
183,16405677.771182,16347.622135772,398,423,0527,527
184,16443225.195292,16368.866547164,986,870,0095,95
185,16405674.02884,16347.619925213,399,374,0528,528
186,16443229.74228,16368.869373708,987,813,0094,94
187,16405687.601951,16347.62619684,400,325,0529,529
188,16443212.05868,16368.859862075,988,756,0093,93
189,16375113.456623,16330.296094268,4,1216,2371,2371
190,16375100.303804,16330.290743717,5,1164,2372,2372
191,16375074.400138,16330.277167448,6,1112,2373,2373
192,16382407.902769,16334.436166418,102,463,1836,1836
193,16382392.680205,16334.427280321,103,413,1837,1837
194,16375100.643472,16330.291401273,7,1059,2374,2374
195,16382407.197641,16334.435066698,104,364,1838,1838
196,16382405.257926,16334.433483984,105,315,1839,1839
197,16375077.48735,16330.278941028,8,1004,2375,2375
198,16382405.805045,16334.434480737,106,267,1840,1840
199,16375076.389943,16330.28008559,9,949,2376,2376
200,16382401.716692,16334.43280391,107,219,1841,1841
201,16382402.741049,16334.432962038,108,176,1842,1842
202,16375062.268215,16330.27376743,10,893,2377,2377
203,16382409.313761,16334.435837177,109,141,1843,1843
204,16382236.645273,16334.338383277,110,111,1844,1844
205,16375415.391666,16330.473490537,11,837,2378,2378
