OBJECTID_1,OBJECTID,TNODE_,LPOLY_,RPOLY_,LENGTH,STREETCL_,STREETCL_I,PREFIX,NAME,TYPE,SUFFIX,STREETNAME,ALTERNATEN,LLEFT,HLEFT,LRGT,HRGT,FROMSTREET,TOSTREET,OWNER,BELTWAY,MAJORRD,NO_LANES,CFCC,ONEWAY,STCL_CODE,UNIQUE_ID,ROUTE_ID,ROUTE_TYPE,LNK_ROUTE_,CITYWORKS,FACILITYID,LEGACYID,INSTALLDAT,WARRANTYDA,CONDITIOND,LOCATION
92,105,0,0,0,12319.874322869,51723,7, ,Simpson Howell ,Rd, ,Simpson Howell Rd,Simpson Howell Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4284-00,SNOW,428400, ,51723, ,,,,Simpson Howell Rd
93,106,0,0,0,12932.4324205926,51793,5, ,Monongahela & Elizabeth ,Rd, ,Monongahela & Elizabeth Rd,Warren Hill,0,0,0,0, , ,County, , ,0, , ,1630,0,  4215-00,SNOW,421500, ,51793, ,,,,Monongahela & Elizabeth Rd
94,92,0,0,0,224.355306405704,48244,14, ,Broughton &Cochrans Mill ,Rd, ,Broughton &Cochrans Mill Rd,Cochran Mill Rd,0,0,0,0, , ,County, , ,0, , ,1620,0,  5045-02,SNOW,504502, ,48244, ,,,,Broughton / Cochran Mill Rd
95,93,0,0,0,13034.9235523923,48596,39, ,Mowery Gill Hall&Cochran Mill ,Rd, ,Mowery Gill Hall&Cochran Mill Rd,Gill hall rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5226-00,SNOW,522600, ,48596, ,,,,Mowery Gill Hall / Cochran Mill
96,94,0,0,0,12346.0351529813,48771,32, ,Catfish Run ,Rd, ,Catfish Run Rd,Corrigan Dr,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  5065-00,SNOW,506500, ,48771, ,,,,Catfish Run Rd
97,95,0,0,0,5584.86346786584,48995,45, ,Brownsville ,Rd, ,Brownsville Rd,Brownsville Rd,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  5050-03,SNOW,505003, ,48995, ,,,,Brownsville Rd
98,117,0,0,0,3936.38391235737,55737,22, ,Old Freeport ,Rd, ,Old Freeport Rd,Old Freeport Rd Loop,0,0,0,0, , ,County, , ,0, , ,1630,0,  2345-00,SNOW-MA,234500MA, ,55737, ,,,,"Freeport Rd, Old"
99,118,0,0,0,3426.89622381357,55908,16, ,Cliff Mine / Coraopolis Hgts ,Rd, ,Cliff Mine / Coraopolis Hgts Rd,Cliff Mine / Coraopolis Hgts Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6075-02,SNOW,607502, ,55908, ,,,,Cliff Mine / Coraopolis Hgts Rd
100,119,0,0,0,3966.99492270985,55920,26, ,Lincoln Ave & Wildwood ,Rd, ,Lincoln Ave & Wildwood Rd,Nadine Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3179-02,SNOW,317902, ,55920, ,,,,Lincoln Ave & Wildwood Rd/ Nadine Rd
101,120,0,0,0,12104.5003104418,55978,37, ,Pierson Run ,Rd, ,Pierson Run Rd,Pierson Run Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3252-00,SNOW,325200, ,55978, ,,,,Pierson Run Rd
102,121,0,0,0,1840.7499485319,56197,17, ,Spring Miller ,Rd, ,Spring Miller Rd,Spring (Miller) Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3287-00,SNOW,328700, ,56197, ,,,,Spring (Miller) Rd
103,122,0,0,0,3385.6070536401,56219,23, ,Lindsey ,Ln, ,Lindsey Ln,Lindsey Ln,0,0,0,0, , ,County, , ,0, , ,1630,0,  3181-00,SNOW,318100, ,56219, ,,,,Lindsey Ln
104,580,0,0,0,6285.49598411987,33990,43, ,Braddock &Ardmore ,Rd, ,Braddock &Ardmore Rd,Wilkens Ave,0,0,0,0, , ,County, , ,0, , ,1630,0,  3036-00,SNOW-MA,303600MA, ,80432, ,,,,Braddock & Ardmore Rd
105,69,0,0,0,10296.8530190723,38076,91, ,Greensburg ,Pike, ,Greensburg Pike,Greensburg Pike,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4139-02,SNOW,413902, ,38076, ,,,,Greensburg Pike
106,70,0,0,0,9632.35430656399,38644,215, ,Elwyn ,Rd, ,Elwyn Rd,McNeilly Rd,0,0,0,0, , ,County,Blue,Yes,0, , ,1630,0,  5116-00,SNOW-MA-ALCO,511600, ,38644, ,,,,Elwyn Rd/ Mc Neilly Rd
107,71,0,0,0,1184.3179654821,39321,287, ,Sussex ,Ave, ,Sussex Ave,Sussex Ave,0,0,0,0, , ,County, , ,0, , ,1630,0,  5300-00,SNOW-MA-ALCO,530000, ,39321, ,,,,Sussex Ave
108,73,0,0,0,3867.8800102462,40811,65, ,Vanadium ,Rd, ,Vanadium Rd,Vanadium Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6318-03,SNOW,631803, ,40811, ,,,,Vanadium Rd
109,75,0,0,0,1251.28700808083,41136,4, ,Boower Hill Rd #1,, ,Boower Hill Rd #1,Vanadium Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6318-01,SNOW,631801, ,41136, ,,,,Bower Hill Rd
110,76,0,0,0,1249.76224122194,41446,53, ,Whitehall ,Rd, ,Whitehall Rd,East Willock Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5333-01,SNOW,533301, ,41446, ,,,,Whitehall Rd
111,77,0,0,0,5059.51593429905,41672,35, ,Crooked Run ,Rd, ,Crooked Run Rd,Crooked Run Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4094-00,SNOW,409400, ,41672, ,,,,Crooked Run Rd
