OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,ASSESSORTERRITORY,VALUATIONAREA,YEARCONVERTED,GlobalID
68,SWISSVALE,BOROUGH,Swissvale Borough,Turtle Creek Valley,Woodland Hills,18,75816,MV,53.42275238,0.08347304,854,003550,8,East Regional,East,Mon Valley,1953,c47d76d0-882e-4cd4-bcf3-f1ac8ed6baa5
69,EDGEWOOD,BOROUGH,Edgewood Borough,Turtle Creek Valley,Woodland Hills,14,22520,ES,418.75741577,0.65430843,823,003165,8,East Regional,East,Mon Valley,1952,58962c34-7620-48b8-865c-75724959e148
76,WEST VIEW,BOROUGH,West View Borough,North Hills,North Hills,14,84144,NH,647.37426757,1.01152229,864,003615,1,Northwest Regional,North,North,1969,6412caf8-9a94-4011-86f5-23b755115e1b
77,CHURCHILL,BOROUGH,Churchill Borough,Turtle Creek Valley,Woodland Hills,18,13608,ES,1398.2277832,2.18473124,816,003105,8,East Regional,East,Mon Valley,1953,9e3c5ad7-5746-4cf2-b58e-b41d2fcf311f
78,MONROEVILLE,MUNICIPALI,Monroeville Municipality,Turtle Creek Valley,Gateway,18,52330,ES,12622.49804687,19.72265625,879,003350,8,East Regional,East,East,1985,cadf64a3-7588-4e00-af96-bf5f6452f088
82,CHALFANT,BOROUGH,Chalfant Borough,Turtle Creek Valley,Woodland Hills,18,12496,ES,104.56433105,0.16338172,814,003095,8,East Regional,East,Mon Valley,1954,dceb0961-e9a4-4e3a-a462-0225c43b7ac4
91,ROSS,TOWNSHIP,Ross Township,North Hills,North Hills,14,66264,NH,9257.41992187,14.46471881,940,003475,1,NEWCOM,North,North,1970,43f37fe1-25bb-49bc-b9ff-bd49f15e4707
92,BRACKENRIDGE,BOROUGH,Brackenridge Borough,Allegheny Valley North,Highlands,4,7976,NH,357.32000732,0.55831247,807,003055,3,NEWCOM,East,Alle-Kiski Valley,1970,1d833932-20b6-4b84-bfec-2e789aa0a50b
93,SPRINGDALE,TOWNSHIP,Springdale Township,Allegheny Valley North,Allegheny Valley,18,72968,NH,1553.41369628,2.42720937,948,003540,3,NEWCOM,East,Alle-Kiski Valley,1968,c7eb1a7c-c812-40f3-ad75-a4ed0103f96f
106,HEIDELBERG,BOROUGH,Heidelberg Borough,South Hills Area,Chartiers Valley,18,33592,SH,175.08248901,0.27356639,833,003265,4,Southwest Regional,West,West,1962,23f74b50-608d-43eb-8e53-b45513af0a11
107,ETNA,BOROUGH,Etna Borough,North Hills,Shaler Area,18,24160,NH,505.64865112,0.79007607,827,003190,3,NEWCOM,North,North,1955,ff43db02-1a93-4cf1-93be-d0b9a92a75b8
108,VERONA,BOROUGH,Verona Borough,Allegheny Valley North,Riverview,18,80032,ES,378.81277465,0.59189498,859,003580,7,East Regional,East,North,1982,bb233a18-21a8-48e0-9b83-a99d6eece106
109,PENNSBURY VILLAGE,BOROUGH,Pennsbury Village Borough,Char-West,Montour,14,59152,AA,37.13928985,0.05803013,871,003422,4,Southwest Regional,West,West,1977,9715398c-bb83-4699-9d15-b67f2a3ac7ab
111,CLAIRTON,CITY,Clairton,Steel Rivers,Clairton City,18,13704,MV,1933.00305175,3.02031707,200,003110,6,Mon-Valley,South,Mon Valley,1966,e6608539-0e20-42c4-9ca9-868634f2758d
117,SPRINGDALE,BOROUGH,Springdale Borough,Allegheny Valley North,Allegheny Valley,18,72960,NH,698.27392578,1.091053,853,003540,7,NEWCOM,East,Alle-Kiski Valley,1967,7aaa94ca-3ded-4978-be51-3a4feea34619
119,OAKMONT,BOROUGH,Oakmont Borough, ,Riverview,18,56088,ES,1120.93444824,1.75145936,845,003400,7,East Regional,East,North,1983,14c92119-d260-4cbc-a877-045692c6e8f0
120,BLAWNOX,BOROUGH,Blawnox Borough,Allegheny Valley North,Fox Chapel Area,18,7000,NH,277.07885742,0.43293577,806,003050,3,NEWCOM,North,North,1960,d895efe2-9ebd-45ad-ad3f-a39048d120d9
122,PLEASANT HILLS,BOROUGH,Pleasant Hills Borough,South Hills Area,West Jefferson Hills,18,61328,SH,1792.18835449,2.80029368,873,003440,6,South Hills Regional,South,Mon Valley,1965,1d241e31-b03c-47ee-be51-8f79925801c1
130,SHARPSBURG,BOROUGH,Sharpsburg Borough,North Hills,Fox Chapel Area,18,69776,NH,414.5090332,0.64767032,852,003515,3,NEWCOM,North,North,1954,b2db32d9-db00-4c91-a0e3-2ebb998fb537
