X,Y,TEMA,SURVEY,TEXTSTRING,OBJECTID
-6.09293057319581,54.8193070665796,B_CLASS,20050202,B 94,336
-5.93447455912768,54.7573685224818,B_CLASS,20031015,B 95,337
-5.94103676244934,54.6677563877462,B_CLASS,20031015,B 513,338
-5.95458631853072,54.6883298385933,B_CLASS,20031015,B 90,339
-6.0211261697152,54.6845818285964,B_CLASS,20031015,B 95,340
-5.97236793502903,54.6669449709824,B_CLASS,20031015,B 95,341
-5.8493119009782,54.7345114740171,B_CLASS,20031015,B 58,342
-5.85693556034393,54.7077007999283,B_CLASS,20031015,B 90,343
-5.87815369707669,54.7021636657584,B_CLASS,20031015,B 90,344
-5.99448738110658,54.7450185645784,B_CLASS,20031015,B 95,345
-6.01120479495156,54.7278367641275,B_CLASS,20031015,B 56,346
-6.02452167943367,54.7234307725646,B_CLASS,20031015,B 59,347
-6.01808110138742,54.7688542190832,B_CLASS,20031015,B 94,348
-6.02949356665756,54.7421509616601,B_CLASS,20031015,B 95,349
-5.92699476822314,54.6963618047285,B_CLASS,20031015,B 90,350
-5.98908819074316,54.6838514680109,B_CLASS,20031015,Hotel,351
-6.1332446269426,54.6241374523026,B_CLASS,20031029,B 101,352
-6.12113219751682,54.5947852881733,B_CLASS,20031029,B 101,353
-6.09025685558721,54.6072807611412,B_CLASS,20031029,B 154,354
-6.10032790476508,54.6244471137751,B_CLASS,20031029,B 154,355
-5.84141441459081,54.6355582235887,B_CLASS,20031029,B 198,356
-5.8702174823005,54.6078532878114,B_CLASS,20031029,B 505,357
-5.9363455566466,54.5940494484618,B_CLASS,20031029,B503,358
-5.95406303852943,54.5960360359543,B_CLASS,20031029,B 38,359
-5.95460470176866,54.605112473217,B_CLASS,20031029,B 39,360
-5.95878657056928,54.6232769221055,B_CLASS,20031029,B 502,361
-6.01080542734358,54.5672613318828,B_CLASS,20031029,B 102,362
-6.02211240545498,54.580656498257,B_CLASS,20031029,B 38,363
-5.94538949061741,54.5721949874044,B_CLASS,20031029,B 23,364
-5.9130120056128,54.5854869747873,B_CLASS,20031029,B 506,365
-6.06390802539537,54.5913174079497,B_CLASS,20031029,B 154,366
