WARD93_ID,WARDS,DATASET,OSNI_SCALE,LGD,AREA_SQKMS,AREA_SQM,PERIM_M,PERIM_KM,OBJECTID
1713,ROESIDE,WARDS 1993,1:50000,Limavady,1.34195062104,1341950.62104,6622.73163879,6.62273163879,322
1714,THE HIGHLANDS,WARDS 1993,1:50000,Limavady,57.3281691039,57328169.1039,48834.3426146,48.8343426146,323
1715,UPPER GLENSHANE,WARDS 1993,1:50000,Limavady,138.162702329,138162702.329,63161.7387506,63.1617387506,324
1717,GREYSTONE,WARDS 1993,1:50000,Limavady,0.300866694577,300866.694577,3021.98801681,3.02198801681,325
1801,BALLYMACASH,WARDS 1993,1:50000,Lisburn,1.90241732668,1902417.32668,7608.96941889,7.60896941889,326
1802,BALLYMACBRENNAN,WARDS 1993,1:50000,Lisburn,69.9382845654,69938284.5654,46622.5884352,46.6225884352,327
1803,BALLYMACOSS,WARDS 1993,1:50000,Lisburn,14.0807103588,14080710.3588,20086.7570603,20.0867570603,328
1804,BLARIS,WARDS 1993,1:50000,Lisburn,8.80290218413,8802902.18413,16228.1886907,16.2281886907,329
1805,COLLIN GLEN,WARDS 1993,1:50000,Lisburn,9.34774739231,9347747.39231,17586.0286686,17.5860286686,330
1806,DERRYAGHY,WARDS 1993,1:50000,Lisburn,5.11776162989,5117761.62989,11934.5583626,11.9345583626,331
1807,DROMARA,WARDS 1993,1:50000,Lisburn,45.251025022,45251025.022,38271.2205352,38.2712205352,332
1808,DRUMBO,WARDS 1993,1:50000,Lisburn,25.148839913,25148839.913,28906.0364877,28.9060364877,333
1809,DUNMURRY,WARDS 1993,1:50000,Lisburn,1.45486022915,1454860.22915,6117.85849636,6.11785849636,334
1810,GLENAVY,WARDS 1993,1:50000,Lisburn,78.5463394176,78546339.4176,61095.8994994,61.0958994994,335
1811,HARMONY HILL,WARDS 1993,1:50000,Lisburn,0.926834210347,926834.210347,5530.38864755,5.53038864755,336
1812,HILDEN,WARDS 1993,1:50000,Lisburn,1.07058894279,1070588.94279,5605.79614765,5.60579614765,337
1813,HILLHALL,WARDS 1993,1:50000,Lisburn,6.81342541882,6813425.41882,13799.1527592,13.7991527592,338
1814,HILLSBOROUGH,WARDS 1993,1:50000,Lisburn,29.9060856075,29906085.6075,32499.292616,32.499292616,339
1815,KILWEE,WARDS 1993,1:50000,Lisburn,0.984152333828,984152.333828,4306.45699747,4.30645699747,340
1816,KNOCKMORE,WARDS 1993,1:50000,Lisburn,4.34777139903,4347771.39903,12644.6693904,12.6446693904,341
1817,LAGAN VALLEY,WARDS 1993,1:50000,Lisburn,1.05644502715,1056445.02715,5366.27779868,5.36627779868,342
1818,LAMBEG,WARDS 1993,1:50000,Lisburn,4.16260864612,4162608.64612,10036.6802693,10.0366802693,343
1819,LISNAGARVY,WARDS 1993,1:50000,Lisburn,0.708356198397,708356.198397,4490.3570323,4.4903570323,344
1821,MAGHERALAVE,WARDS 1993,1:50000,Lisburn,1.74577853035,1745778.53035,6548.44948662,6.54844948662,345
1822,MAZE,WARDS 1993,1:50000,Lisburn,15.8163039304,15816303.9304,23769.6752448,23.7696752448,346
1823,MOIRA,WARDS 1993,1:50000,Lisburn,17.3966512839,17396651.2839,30617.5508157,30.6175508157,347
